frame_id,offset,source,mask_iou,bbox_iou,image
30,0,anchor,1.000000,1.000000,frame_0030_offset_0.png
31,1,lk_raw,0.845815,0.793814,frame_0031_offset_1.png
32,2,lk_raw,0.823362,0.880503,frame_0032_offset_2.png
33,3,lk_raw,0.797671,0.817666,frame_0033_offset_3.png
34,4,lk_raw,0.735714,0.823607,frame_0034_offset_4.png
35,5,lk_raw,0.738764,0.762599,frame_0035_offset_5.png
36,6,lk_raw,0.707283,0.696286,frame_0036_offset_6.png
37,7,lk_raw,0.705882,0.786632,frame_0037_offset_7.png
38,8,lk_raw,0.658537,0.635108,frame_0038_offset_8.png
39,9,lk_raw,0.733429,0.716843,frame_0039_offset_9.png
40,0,anchor,1.000000,1.000000,frame_0040_offset_0.png
41,1,lk_raw,0.798712,0.713043,frame_0041_offset_1.png
42,2,lk_raw,0.827181,0.914773,frame_0042_offset_2.png
43,3,lk_raw,0.808374,0.776046,frame_0043_offset_3.png
44,4,lk_raw,0.809446,0.856736,frame_0044_offset_4.png
45,5,lk_raw,0.790221,0.775168,frame_0045_offset_5.png
46,6,lk_raw,0.768778,0.798617,frame_0046_offset_6.png
47,7,lk_raw,0.784038,0.855924,frame_0047_offset_7.png
48,8,lk_raw,0.796238,0.861210,frame_0048_offset_8.png
49,9,lk_raw,0.808050,0.843206,frame_0049_offset_9.png
50,0,anchor,1.000000,1.000000,frame_0050_offset_0.png
51,1,lk_raw,0.884555,0.849117,frame_0051_offset_1.png
52,2,lk_raw,0.868182,0.870091,frame_0052_offset_2.png
53,3,lk_raw,0.821023,0.793522,frame_0053_offset_3.png
54,4,lk_raw,0.807692,0.778781,frame_0054_offset_4.png
55,5,lk_raw,0.777469,0.741053,frame_0055_offset_5.png
56,6,lk_raw,0.767143,0.812308,frame_0056_offset_6.png
57,7,lk_raw,0.722955,0.716317,frame_0057_offset_7.png
58,8,lk_raw,0.737127,0.779841,frame_0058_offset_8.png
59,9,lk_raw,0.730717,0.716463,frame_0059_offset_9.png
60,0,anchor,1.000000,1.000000,frame_0060_offset_0.png
61,1,lk_raw,0.880389,0.877968,frame_0061_offset_1.png
62,2,lk_raw,0.802436,0.738854,frame_0062_offset_2.png
63,3,lk_raw,0.797927,0.808945,frame_0063_offset_3.png
64,4,lk_raw,0.772440,0.825779,frame_0064_offset_4.png
65,5,lk_raw,0.751843,0.818697,frame_0065_offset_5.png
66,6,lk_raw,0.738407,0.844298,frame_0066_offset_6.png
67,7,lk_raw,0.727494,0.717088,frame_0067_offset_7.png
68,8,lk_raw,0.741359,0.818182,frame_0068_offset_8.png
69,9,lk_raw,0.686600,0.690467,frame_0069_offset_9.png
70,0,anchor,1.000000,1.000000,frame_0070_offset_0.png
71,1,lk_raw,0.831533,0.950000,frame_0071_offset_1.png
72,2,lk_raw,0.858333,0.816925,frame_0072_offset_2.png
73,3,lk_raw,0.787162,0.868833,frame_0073_offset_3.png
74,4,lk_raw,0.776445,0.848692,frame_0074_offset_4.png
75,5,lk_raw,0.829186,0.836515,frame_0075_offset_5.png
76,6,lk_raw,0.819264,0.848221,frame_0076_offset_6.png
77,7,lk_raw,0.770127,0.759356,frame_0077_offset_7.png
78,8,lk_raw,0.798292,0.902460,frame_0078_offset_8.png
79,9,lk_raw,0.811159,0.880000,frame_0079_offset_9.png
80,0,anchor,1.000000,1.000000,frame_0080_offset_0.png
81,1,lk_raw,0.791667,0.868852,frame_0081_offset_1.png
82,2,lk_raw,0.787068,0.831948,frame_0082_offset_2.png
83,3,lk_raw,0.771872,0.827586,frame_0083_offset_3.png
