frame_id,offset,source,mask_iou,bbox_iou,image
259,19,lk_raw,0.510172,0.579238,frame_0259_offset_19.png
260,0,anchor,1.000000,1.000000,frame_0260_offset_0.png
261,1,lk_raw,0.867277,0.777547,frame_0261_offset_1.png
262,2,lk_raw,0.852941,0.871179,frame_0262_offset_2.png
263,3,lk_raw,0.825431,0.811966,frame_0263_offset_3.png
264,4,lk_raw,0.837900,0.885167,frame_0264_offset_4.png
265,5,lk_raw,0.793991,0.829694,frame_0265_offset_5.png
266,6,lk_raw,0.801762,0.781250,frame_0266_offset_6.png
267,7,lk_raw,0.829885,0.861244,frame_0267_offset_7.png
268,8,lk_raw,0.858124,0.826087,frame_0268_offset_8.png
269,9,lk_raw,0.849537,0.723404,frame_0269_offset_9.png
270,10,lk_raw,0.835294,0.772727,frame_0270_offset_10.png
271,11,lk_raw,0.856164,0.864486,frame_0271_offset_11.png
272,12,lk_raw,0.854839,0.867580,frame_0272_offset_12.png
273,13,lk_raw,0.781250,0.777778,frame_0273_offset_13.png
274,14,lk_raw,0.788506,0.813953,frame_0274_offset_14.png
275,15,lk_raw,0.822222,0.926829,frame_0275_offset_15.png
276,16,lk_raw,0.775362,0.837838,frame_0276_offset_16.png
277,17,lk_raw,0.760181,0.853659,frame_0277_offset_17.png
278,18,lk_raw,0.785377,0.856041,frame_0278_offset_18.png
279,19,lk_raw,0.756627,0.807990,frame_0279_offset_19.png
280,0,anchor,1.000000,1.000000,frame_0280_offset_0.png
281,1,lk_raw,0.845771,0.789474,frame_0281_offset_1.png
282,2,lk_raw,0.840194,0.900000,frame_0282_offset_2.png
283,3,lk_raw,0.840095,0.875000,frame_0283_offset_3.png
284,4,lk_raw,0.865196,0.918919,frame_0284_offset_4.png
285,5,lk_raw,0.785185,0.763926,frame_0285_offset_5.png
286,6,lk_raw,0.783654,0.831403,frame_0286_offset_6.png
287,7,lk_raw,0.829457,0.788845,frame_0287_offset_7.png
288,8,lk_raw,0.781095,0.822733,frame_0288_offset_8.png
289,9,lk_raw,0.774882,0.972973,frame_0289_offset_9.png
290,10,lk_raw,0.760095,0.829268,frame_0290_offset_10.png
291,11,lk_raw,0.790361,0.852243,frame_0291_offset_11.png
292,12,lk_raw,0.796610,0.903226,frame_0292_offset_12.png
293,13,lk_raw,0.760870,0.831565,frame_0293_offset_13.png
294,14,lk_raw,0.774752,0.760248,frame_0294_offset_14.png
295,15,lk_raw,0.798982,0.863636,frame_0295_offset_15.png
296,16,lk_raw,0.789744,0.795181,frame_0296_offset_16.png
297,17,lk_raw,0.756219,0.775457,frame_0297_offset_17.png
298,18,lk_raw,0.725686,0.750318,frame_0298_offset_18.png
299,19,lk_raw,0.711491,0.837873,frame_0299_offset_19.png
300,0,anchor,1.000000,1.000000,frame_0300_offset_0.png
